id,contract_reference,area,scenario,starting_state,user_actions,expected_visible_behavior,expected_backend_behavior,recovery_expectation,evidence_source,status,severity_if_failed,automated_regression,execution_class,phase_24_defer_note,bug_id,source_sha,deployed_sha,fixture_version,account_alias,timezone,device_runtime_viewport,observed_result,last_executed_at
ONB-001,onboarding-goal-pace,Onboarding,incomplete profile startup,new account,launch and answer first question,no welcome detour and first question reachable,profile/goal persists,relaunch resumes safely,API setup/profile contract coverage green; Simulator UI pending,PASS-AUTOMATED,P1,onboarding tests,simulator,,,,,,,,,Automated contract coverage passed; real Simulator journey remains pending.,
ONB-002,onboarding-goal-pace,Onboarding,goal pace matrix,new account,select lose/gain 0.50..2.00 in .05 steps,no age gate or invalid options,selected rate stored exactly,edit/cancel recover,API goal-rate and mobile planning coverage green; Simulator UI pending,PASS-AUTOMATED,P1,goal pace tests,simulator,,,,,,,,,Automated contract coverage passed; real Simulator journey remains pending.,
ONB-003,goal-plan,Goals,maintain plan,profile age present,select maintain,rate control absent or null,targetRateLbPerWeek remains null,edit preserves null,"API profile/goals coverage green; QA A staging read-only response confirms maintain/null rate and numeric effective targets; real Simulator Goal plan observed",PASS-SIMULATOR,P1,goal plan tests,simulator,,,,,,QA-A,,iPhone 17 iOS 27.0,"QA A Profile → Review goal plan showed Maintain, No pace, 2,600 kcal, and 153.7 g protein; no rate control was exposed and the plan remained editable via Back.",2026-09-11
GOAL-EDIT-001,goal-plan,Goals,profile numeric pace editor and validation,QA A authenticated with Maintain plan,open Profile → Edit goals; select Lose; attempt Save with no rate then enter 0.55 and save,"only numeric Weekly rate field is shown; legacy categorical pace choices are absent; required-rate validation is visible and form remains recoverable",valid 0.55 save persists the numeric target and propagates future calorie planning without rewriting historical logs,select Maintain/relaunch restores the prior plan,"focused profile-goal-pace Jest regression plus real QA A Simulator observation",PASS-SIMULATOR,P1,profile-goal-pace.test.tsx,simulator,"Visual styling remains Phase 24 scope; no categorical control redesign beyond functional removal.",GOAL-PACE-001,63ece53,none,none,QA-A,America/Toronto,iPhone 17 iOS 27.0,"QA A selected Lose, saw only Weekly rate (lb/week), observed required-rate validation when blank, entered 0.55, saved, saw Progress update to 2,320 kcal, terminated/relaunched, and reopened Profile showing Lose / 0.55 lb/week. No historical FoodLog mutation was observed.",2026-09-12
GOAL-EDIT-002,goal-plan,Goals,Maintain clears prior weekly rate,QA A Lose plan with 0.55 lb/week,select Maintain and save then restore Lose fixture,Maintain displays No pace and persists targetRateLbPerWeek null,goal/target propagation remains valid and historical logs unchanged,select Lose and re-enter supported rate remains recoverable,"profile-goal-pace.test.tsx plus real QA A Simulator save/reopen observation",PASS-SIMULATOR,P1,profile-goal-pace.test.tsx,simulator,,GOAL-PACE-002,f658b30,none,none,QA-A,America/Toronto,iPhone 17 iOS 27.0,"QA A selected Maintain from a saved Lose / 0.55 plan; the corrected UI cleared the weekly-rate field, showed No pace, saved, and displayed Maintain targets. QA A was then restored to Lose / 0.55 lb/week and 2,320 kcal for subsequent regression work.",2026-09-12
TARGET-001,target-priority,Targets,recommended target,QA A profile,open targets,use recommended; derived/reference values visible,priority is personalized/reference over derived,refresh persists,"API target persistence and priority coverage green; real Simulator Nutrition Targets screen showed Personalized, Derived, and Reference labels plus Recommended values",PASS-SIMULATOR,P1,target tests,simulator,,,,,,QA-A,,iPhone 17 iOS 27.0,"QA A Profile → Edit daily nutrition targets showed effective values with Personalized, Derived, and Reference source labels and explicit Recommended values; no missing target was treated as zero.",2026-09-11
TARGET-002,target-priority,Targets,override reset,QA A with override,set override reopen reset use recommended,override then recommended visible,reset removes override not target truth,back/retry works,"API target persistence and reset coverage green; real Simulator override and Use recommended interaction observed",PASS-SIMULATOR,P1,target tests,simulator,,,,,,QA-A,,iPhone 17 iOS 27.0,"Changed Calories 2600 → 2500, saved custom, observed the Use recommended calories recovery action, used it, and observed the value return to the 2600 recommended target.",2026-09-11
SEARCH-001,food-authority-retrieval,Search,exact common trusted food,QA A,search select log,valid candidate and editable serving,FoodLog snapshot is authoritative,replace/cancel works,"API food-item and food-log persistence coverage green; real Simulator search/select/log/History observed",PASS-SIMULATOR,P1,search tests,simulator,,,,,,QA-A,,,"Searched `apple`, observed ranked canonical/provider candidates, selected Apple raw, edited the serving basis, saved the food, and observed the persisted History entry; probe rows remain available for the approved QA fixture cleanup workflow.",2026-09-11
SEARCH-002,food-authority-retrieval,Search,plural typo preparation queries,QA A,search plural typo raw/cooked variants,ranked relevant candidates and explicit ambiguity,selection can create valid log,no result trap,API alias and preparation-ranking coverage green; real Simulator query class exercised,PASS-SIMULATOR,P1,search tests,simulator,,,,,,QA-A,,,"QA A Simulator returned a recoverable no-result state for the typo `appls`, then ranked Apple candidates for plural `apples` with raw/cooked/preparation variants; no result trap observed.",2026-09-11
SEARCH-003,food-authority-retrieval,Search,provider diversity and branded generic,QA A,search branded/generic food,source and completeness evidence distinguish selection,FoodItem source is preserved,change candidate recovers,API provider-diversity and branded/generic coverage green; Simulator UI pending,PASS-AUTOMATED,P1,retrieval tests,simulator,,,,,,QA-A,,,"Automated provider-diversity contract remains green. Supplemental QA A Simulator search for `milk` returned multiple distinct generic/preparation candidates (whole pasteurised, sheep whole, human mature, chocolate 2%); source/provider labels were not exposed in the observed UI, so this does not replace the pending provider-attribution UAT.",2026-09-11
SEARCH-004,food-authority-retrieval,Search,saved recent custom archive,QA A has library data,search/reuse each class,consumer opens valid serving flow,no second canonical database,retry/cancel,"API Food Library persistence coverage green; Simulator opened Food Library, recovered from a transient unavailable state with Try again, exercised Saved/My Foods/Recent/Archived tabs, opened a Recent Banana row into the editable Food Log, and verified the library detail/default-serving flow; custom archive/restore exercised",PASS-SIMULATOR,P1,library tests,simulator,,LIB-REUSE-001,,,,QA-A,,iPhone 17 iOS 27.0,"Provider-backed History rows no longer expose Save to My Foods after the focused eligibility correction; QA A Simulator created `QA Archive Probe`, archived it, observed it in Archived, restored it, and observed it back in My Foods. Saved/Recent reuse and default-serving persistence were also observed.",2026-09-11
SERV-001,serving-resolution,Serving,count semantics,egg candidate,log 2 eggs and edit quantity,authoritative count conversion shown,saved snapshot matches preview,reopen preserves,API serving/count persistence green; staging Simulator reviewed missing-unit/count recovery,PASS-AUTOMATED,P1,serving tests,simulator,,,,,,QA-A,America/Toronto,iOS 27 Simulator (Fresh),"Automated contract coverage passed. Staging-targeted Simulator example `2 eggs, toast, banana` preserved parsed egg amount `2` but the selected prepared-egg candidate had no trusted count relationship, so the UI correctly stayed in `Check this serving` rather than silently treating 2 as eggs or grams. Selecting `Use g` explicitly produced a 2.0 g / 5 kcal provisional preview; replacing the candidate reset to its 110 g basis and remained editable. A separate opaque `rice bowl with chicken` example produced a `rice` row matched to USDA `Rice, cooked, NFS` with no trusted cup conversion; after entering `100`, the UI continued to require an explicit compatible unit and kept the row in Review, while decomposing a separate chicken row. No log was saved; authoritative count conversion remains covered by automated serving tests.",2026-09-12
SERV-002,serving-resolution,Serving,unsupported volume review,cooked rice without cup relation,log 1 cup cooked rice,review required not false conversion,no invalid nutrition snapshot,candidate replace/edit/cancel,API unsupported-serving coverage green; Simulator UI exercised,PASS-SIMULATOR,P1,serving tests,simulator,,,,,,QA-A,America/Toronto,iPhone 17 iOS 27.0,"QA A Simulator rice review exposed a USDA cooked-rice candidate with a per-100 g basis, required serving amount, and only g/kg/oz/lb controls; no cup conversion was offered or silently applied. The review remained editable/recoverable and no log was saved. API unsupported-serving semantics remain green.",2026-09-12
SERV-003,serving-resolution,Serving,preview equals saved,valid candidate,change unit then confirm,review totals equal History totals,persisted snapshot exact,retry no duplicate,API preview/persistence coverage green; real Simulator serving edit exercised,PASS-SIMULATOR,P0,serving persistence tests,simulator,,,,,,,,,"QA A selected a trusted egg candidate, changed the serving amount from 100 g to 2 g, observed the 5 kcal provisional preview, saved once, and History immediately showed the resulting 5 kcal entry with five logs total.",2026-09-11
AI-001,ai-trusted-review-fallback,AI text,1 apple missing-unit recoverability,QA A,submit 1 apple edit unit/value continue,row never traps and controls usable,valid log only after server validation,cancel/retry/remove all work,Simulator screenshot+API,PASS-SIMULATOR,P0,AI-APPLE-MISSING-UNIT,simulator,,AI-KEYBOARD-001,1a52472,,,QA-A,,,"Prior QA A Simulator flow entered `1 apple`, produced an editable apple candidate with serving amount/unit controls, changed serving amount to 1 g, logged successfully, observed the History row, reopened it, and observed editable controls plus Save/Log again/Delete recovery actions; no trapped state. Post-fix Fresh QA Simulator build installed the current candidate, opened the real Describe meal route, opened the multiline keyboard, observed the Done key, pressed Done to dismiss the keyboard, and observed the Read meal footer reachable; tapping Read meal transitioned to the editable Review foods state with serving controls and Log selected. No log was saved.",2026-09-12
AI-002,ai-trusted-review-fallback,AI text,exact trusted natural language,QA A,submit 2 eggs,excellent trusted match no needless fallback,FoodLog uses trusted snapshot,edit/review works,API trusted-match orchestration and snapshot coverage green; real editable UI observed,PASS-AUTOMATED,P1,AI flow tests,simulator,,,,,,QA-A,,,"Automated backend contract passed. Real QA A Simulator input `2 eggs` reached Review with a trusted candidate, serving amount/unit controls, alternate candidates, and Log selected; the selected omelet/preparation candidate remained review-required rather than being silently treated as exact, with no fallback or save. Exact high-confidence whole-egg selection remains final-sweep work, so no Simulator PASS is inferred for this exact-match row.",
AI-003,ai-trusted-review-fallback,AI text,ambiguous raw cooked,QA A,submit rice,review asks correction not silent acceptance,no false precision until confirmed,candidate replacement works,API ambiguous/review-required and serving-state coverage green; real editable UI exercised,PASS-SIMULATOR,P1,AI flow tests,simulator,,,,,,QA-A,,,"QA A Simulator entered `rice bowl with chicken`, surfaced a Rice cooked candidate in Review with missing amount/unit validation, then accepted 100 g to reveal a provisional 226 kcal preview and explicit no-trusted-cup-conversion guidance; editable candidate/serving recovery remained available and no save occurred.",2026-09-11
AI-004,ai-trusted-review-fallback,AI text,partial fallback,QA A,submit chicken rice peas mystery sauce,resolved rows trusted and sauce only fallback,partial estimated row marked lower trust,remove/replace unresolved only,API partial-fallback coverage plus real Simulator review evidence,PASS-SIMULATOR,P0,AI flow tests,simulator,,AI-PARTIAL-001,a2bde6c,,,QA-A,America/Toronto,iPhone 17 iOS 27.0,"Fresh QA A Simulator run entered the exact description and scrolled the complete review. Chicken, rice, and peas were separate checked editable rows; mystery house sauce was present as a separate unchecked row labeled Needs food, with remove/review controls and a matched candidate shown without silent selection. Log selected remained available for the resolved rows only. No meal was saved; the apparent omission was a viewport-observation error and the defect was closed as not reproduced.",2026-09-12
AI-005,ai-trusted-review-fallback,AI text,opaque composite,QA A,submit beef stew/shawarma plate,opaque dish not fictional decomposition,fallback minimally scoped/editable,cancel/retry,API opaque-meal/fallback boundary coverage green; real editable UI variants observed,PASS-SIMULATOR,P1,AI flow tests,simulator,,,,,,QA-A,,,"Automated backend contract passed. QA A Simulator large chicken shawarma plate reached a single editable chicken shawarma review row matched to a trusted chicken candidate, with alternate candidates and no fictional multi-row decomposition. Because the parsed quantity had no unit and the candidate had only a mass basis, Log selected stayed disabled with explicit supported-unit guidance; selecting Use g then checking the row produced a provisional 2 kcal / 0.3 g protein preview at 1 g, changing amount to 200 produced 376 kcal / 52.2 g protein, and Close returned without saving. A fresh `rice bowl with chicken` example decomposed into rice and chicken rows; removing rice left an editable chicken row with a 100 g / 226 kcal preview, and removing the final row produced `No foods selected` with an edit-description recovery path. Existing protein shake with milk and a bowl of beef stew variants remain covered as editable opaque review cases.",
AI-006,ai-trusted-review-fallback,AI text,multi-food decomposition,QA A,submit chicken rice peas,clear components become separate trusted rows where appropriate,one atomic persisted result/no duplicates,edit/remove/add missed,"API multi-food decomposition and atomic persistence coverage green; full-scroll Simulator review and response boundary agree",PASS-SIMULATOR,P1,AI flow tests,simulator,,,,,,QA-A,,,"Resumed QA A Simulator run showed eggs and toast in the initial review viewport and banana after scrolling the full review; authenticated /ai/food-parse returned all three items. A second response-boundary call for chicken rice and peas returned chicken, rice, and peas. Initial omission was not reproduced; no save performed.",2026-09-11
AI-007,ai-trusted-review-fallback,AI text,provider/model failure,QA A,disable provider then submit,visible recoverable error no invented confidence,no log saved, retry/cancel works,"API provider-failure and no-fabricated-confidence coverage green; real QA A Simulator AI example returned the explicit Food recognition is temporarily unavailable state with Read meal retry still reachable and no log mutation",PASS-SIMULATOR,P0,AI failure tests,simulator,,,,,,QA-A,,iPhone 17 iOS 27.0,"QA A Simulator selected the 2 eggs/toast/banana AI example, observed Meal parsing needs attention and Food recognition is temporarily unavailable, retained the editable meal draft and Read meal retry action, and exited without a FoodLog; no fabricated confidence or partial save appeared.",2026-09-11
AI-008,ai-trusted-review-fallback,AI text,post-retrieval adequacy evaluation,QA A with trusted and ambiguous candidates,submit natural-language food and inspect bounded evaluation,excellent matches remain trusted while ambiguous candidates enter editable review,server validates selected candidate and no AI nutrition authority is persisted,retry/cancel and candidate replacement remain available,API request boundary plus Simulator UI,PASS-SIMULATOR,P1,ai-food-parse.test.ts plus neighboring suite,simulator,,AI-RAG-001,,,,QA-A,,iPhone 17 iOS 27.0,"Authenticated staging response for `2 eggs, toast, banana` returned eggs/banana matched and toast needs_review with bounded candidates; real Simulator review exposed editable serving/candidate controls, review disposition, and Log selected only after review. No meal was saved.",2026-09-11
BAR-001,barcode,Barcode,cache-first known barcode,QA A,scan/enter known code,candidate and serving usable,FoodLog saved snapshot,provider fallback not duplicate,API barcode normalization/cache/provider/region coverage green; real scanner UI pending,PASS-AUTOMATED,P1,barcode tests,simulator/physical,,,,,,QA-A,,,"Automated cache/provider contract remains green. Supplemental QA A Simulator launch opened the real Scan barcode surface with Ready to scan guidance and scanner-light control; no physical barcode was available, and no known-code persistence was inferred. Physical scanner acceptance remains pending.",2026-09-11
BAR-002,barcode,Barcode,unknown invalid network recovery,QA A,invalid/unknown/offline input,recoverable error and retry,no partial log,back/cancel/retry,API invalid/unknown barcode and fallback error coverage green; real scanner UI pending,PASS-AUTOMATED,P1,barcode tests,simulator/physical,,,,,,QA-A,,,"Automated invalid/unknown/network recovery contract remains green. Supplemental QA A Simulator scanner cancel returned to the editable Log food form without a mutation; invalid/unknown scan-result and physical camera recovery remain pending.",2026-09-11
PHOTO-001,photo,Photo,orientation preprocessing,QA A,choose portrait landscape HEIC photo,preview/review usable under size rules,no original deletion/unneeded persistence,cancel/retry,"API photo preprocessing and analysis coverage green; Simulator camera path captured black-camera review with exclude/restore and Add a missed food search; the real Choose from library route reached the system Photos picker, but picker tiles were not exposed to the available Simulator accessibility bridge, so selection/orientation/HEIC behavior remains pending",PASS-AUTOMATED,P1,photo tests,simulator/physical,,,,,,QA-A,,,"Automated contract coverage passed; Simulator camera capture/review recovery and Photos-picker launch were observed, but picker selection/orientation/HEIC and physical-library behavior remain pending; no PASS is inferred from the bridge limitation.",2026-09-12
PHOTO-002,photo,Photo,multi-food partial confirmation,QA A,submit plate confirm/replace/add/exclude rows,one bad row cannot trap valid rows,explicit disposition persisted atomically,retry/double-save safe,API photo adjudication and confirmation coverage green; real Simulator photo review/confirmation observed; physical camera/library details remain physical,PASS-SIMULATOR,P0,photo flow tests,simulator/physical,,,PHOTO-SERVING-001,,,QA-A,,iPhone 17 iOS 27.0,"Real Simulator photo flow reached review, excluded the recognition-only `ice plant flower` row, added missed trusted `Apple, raw` through search, edited the serving, reached atomic confirmation with a recalculated `122 kcal preview`, and backed out without saving. A controlled rerun selected a real library image, replaced an unresolved row with trusted Apple, entered 100 g, changed to 3.53 oz, kept the 61 kcal preview visible, and reached matching confirmation; PHOTO-SERVING-001 is closed as not reproduced. Physical camera/library/HEIC remains pending.",2026-09-11
HIST-001,historical-snapshot,History,older log edit/delete,existing current and old logs,open edit delete refresh,reopened state matches persisted snapshot,server state matches edit/delete,undo/cancel where designed,API FoodLog update/delete coverage green; real Simulator edit/delete observed,PASS-SIMULATOR,P1,history tests,simulator,,,,,,QA-A,,iPhone 17 iOS 27.0,"QA A Simulator opened the Sunday Sep 6 older `Greek yogurt, oats, and berries` entry, changed Protein from 32.8 g to 135 g, saved, returned to Today, reopened Sunday, and observed the persisted 135.0 g breakfast value. Reopened the same entry, accepted the Delete food entry? confirmation, and reopened Sunday to verify the deleted entry was gone and the day count dropped from 3 to 2 logs; no unrelated entries were removed.",2026-09-11
HIST-002,historical-nutrient-state,Nutrients,numeric zero unknown,QA A with three nutrient states,save and reopen History/Complex analytics,three states remain distinct,unknown remains null/absent no zero coercion,edit/cancel,API nutrient-total and metric-state coverage green; real Complex-mode History edit/reopen exercised,PASS-SIMULATOR,P0,nutrient snapshot tests,simulator,,NUTRIENT-EDIT-001,dd68b9e,,,QA-A,America/Toronto,iPhone 17 iOS 27.0,"QA A set Added Sugar to 2 g on `QA Archive Probe`, tapped Save changes in the real Simulator, left the editor, reopened the same History row, and observed the live Added Sugar field value 2 after the LAN Metro bundle rebuilt with the correction. Direct authenticated staging readback for the same FoodLog showed `nutrients.addedSugar.amount=2` and `servingSnapshot.nutritionOverride.nutrients.addedSugar.amount=2`; preview no longer clobbers the persisted override. The earlier top-level Protein/Fiber/Sugar observation remains evidence for column-backed states; numeric zero/Unknown semantics remain covered by API and helper tests.",2026-09-12
HIST-004,historical-snapshot,Nutrition,persisted macro override survives serving preview,QA A snapshot-backed FoodLog,open edit and trigger serving preview then edit normalized nutrient and save,reloaded macro fields retain persisted override while preview remains distinct,FoodLog nutritionOverride retains original macros and FoodItem/history unchanged,clear/keep adjustment and cancel remain recoverable,"focused helper red/green; full mobile Vitest/Jest; Simulator source re-observation",PASS-SIMULATOR,P1,food-log-nutrient-state.test.ts,simulator,,SNAPSHOT-MACRO-001,ce09db2,,,QA-A,America/Toronto,iPhone 17 iOS 27.0,"Fresh beta-built QA A Simulator opened QA Archive Probe, changed serving 100 g→200 g, entered Added Sugar 2 g, saved through the off-screen Save changes action, reopened the entry with the 200 g preview and Added Sugar 2 persisted, then removed the adjustment, restored 100 g, saved, and confirmed Friday totals/fixture row were restored.",2026-09-12
HIST-003,historical-snapshot,Nutrition,FoodItem edit immutability,old FoodLog exists,edit canonical FoodItem reopen old log,old nutrition unchanged,FoodItem only future use changes,reopen/refresh,"API snapshot immutability coverage green; fresh beta-built QA A Simulator changed QA Archive Probe canonical calories 10→20, reopened Friday History, and observed the old 170 kcal FoodLog unchanged; canonical food was then restored to 10 kcal",PASS-SIMULATOR,P0,snapshot tests,simulator,,,,,,QA-A,America/Toronto,iPhone 17 iOS 27.0,"Fresh beta-built QA A Simulator edited QA Archive Probe from the Food Library, observed the updated 20 kcal canonical value after returning from the editor, reopened the old Friday History row and observed 170 kcal unchanged, then restored the canonical food to 10 kcal and verified the fixture row remained intact.",2026-09-12
REC-001,recipe-snapshot,Recipes,recipe historical immutability,QA A,create recipe log modify ingredient reopen old log,old log unchanged and new log updated,ingredient snapshots frozen,edit/retry,API recipe snapshot/logging coverage plus real QA A Simulator journey,PASS-SIMULATOR,P0,recipe tests,simulator,,,,,,QA-A,,iPhone 17 iOS 27.0,"Created and logged QA Regression at 100 g Apple (31 kcal per portion), edited the recipe to 200 g (122 kcal whole / 61 kcal per portion), reopened the old History entry and observed 31 kcal unchanged, then logged a new portion and observed the day total increase by 61 kcal.",2026-09-11
MIX-001,mixed-meal-atomicity,Mixed Meals,atomic edit retry double confirm,QA A,compose edit confirm rapidly,one persisted result with final values,no duplicate rows,retry/cancel recover,"API mixed-meal atomicity coverage green; real Simulator confirmed required-name validation, authoritative preview, save, and rapid double-submit safety",PASS-SIMULATOR,P1,mixed meal tests,simulator,,,,,,QA-A,America/Toronto,iPhone 17 iOS 27.0,"Fresh QA A Simulator run selected Apple, confirmed a 100 g serving with servingStatus ready, and initially observed no preview because the actual meal name was empty (visible `Rice bowl` was only the placeholder). After entering `QA Apple Bowl`, the authoritative preview displayed 52 kcal. Two rapid Log mixed meal taps produced one persisted QA Apple Bowl row; Progress changed from 3 to 4 logs and the row exposed an Edit action. The apparent MIX-UI-001 defect is closed as not reproduced; full History-tab re-observation remains part of the final critical re-sweep.",2026-09-11
LIB-001,food-library,Food Library,archive restore default serving,library foods,archive restore set default reuse,archive visibility and default serving persist,historical logs unaffected,undo/retry,"API Food Library persistence and mobile-library contract coverage green; QA A Simulator exercised Recent Banana reuse, default-serving persistence, and custom archive/restore",PASS-SIMULATOR,P1,food-library tests,simulator,,,,,,QA-A,,iPhone 17 iOS 27.0,"QA A reused Recent Banana, saved and reopened a 100 g default serving, then created `QA Archive Probe`, archived it, observed it in Archived, restored it, and observed it in My Foods. No historical log was mutated.",2026-09-11
MODE-001,simple-complex,Modes,Simple to Complex same data,QA A with log/water/weight,inspect Simple switch Complex edit switch back,same canonical records and appropriately different controls,no forked stores,refresh/relaunch,API mode persistence/setup and shared log-water-weight contracts plus Simple/Complex fixture coverage green; authenticated UI journey observed,PASS-SIMULATOR,P0,mode tests,simulator,,,,,,QA-A,America/Toronto,iOS 27 Simulator (Fresh),"QA A toggled Complex to Simple and back to Complex through the real Simulator; each mode label changed and the staging tracking-preferences readback matched the final Complex state. A saved Profile Simple selection persisted through navigation to Progress and History (Friday still showed 8 entries and 172 kcal), then Progress toggled back to Complex and the launcher confirmation was dismissed. The same goal/target values remained visible in both modes; no data fork or Progress error state appeared.",2026-09-12
MODE-002,simple-complex,Modes,Complex nutrient correction,QA A,edit numeric/zero/unknown in Complex,three states survive save/reopen,FoodLog snapshot exact,back/cancel,API simple/complex nutrient override validation and mode-mismatch report guards green; Complex correction UI exercised,PASS-SIMULATOR,P0,mode tests,simulator,,,,,,QA-A,America/Toronto,iPhone 17 iOS 27.0,"QA A Complex History edit set Added Sugar to explicit 0, saved and reopened with 0, then cleared the field to Unknown, saved again, and reopened with the field blank (Unknown). Existing numeric override evidence and authenticated readback remain recorded; no underlying FoodItem mutation was observed.",2026-09-12
HYD-001,hydration,Hydration,entry points shared persistence,QA A,Log Water other amount quick add,one water history and goal model,food water not counted,edit/delete/undo,"API water-log persistence and analytics coverage green; Simulator quick-add, Other Amount, and History rows observed; History +250 mL action exposed a 250 mL added toast with Keep/Undo and Undo removed only the just-added entry while the original 250 mL row remained",PASS-SIMULATOR,P1,water tests,simulator,,,,,,QA-A,America/Toronto,iPhone 17 iOS 27.0,"QA A opened Log Water in Complex mode, observed the 250 mL quick-add and water-only contract text, added 250 mL, opened Other Amount, entered 333 mL, changed that entry to 500 mL through Water History, saved, reopened it, used Delete water entry with confirmation, and observed the row removed. The earlier History +250 mL Undo action also removed only the just-added entry while the original row remained. In the same Fresh Simulator session, toggling to Simple exposed the shared Log water sheet with 250/350/500/750 mL controls, Other Amount, logged-at control, and explicit water-only semantics; closing without saving left no mutation. Complex was restored afterward.",2026-09-12
